Comparison,Sharpe Diff (point est.),95% CI Low,95% CI High,p-value (approx.),Significant at 5%?
Hybrid minus Pure Rolling,-0.004244648976313714,-0.04985190952792101,0.03977163268558927,0.8732,No
Pure Rolling minus Buy & Hold,0.1446281189902393,-0.10100191626261198,0.371244142208449,0.2712,No
Hybrid minus Buy & Hold,0.1403834700139256,-0.10934540336767734,0.37036913203814675,0.2992,No
Pure GARCH minus Pure Rolling,-0.029669763472152666,-0.11325194597378137,0.04708044911734875,0.4088,No
