Date,price,log_ret,vol_rolling,vol_ewma,vol_garch
2005-01-04,46245.92731877537,-0.01229440045350143,,0.10225768218825411,0.10867546395405234
2005-01-05,45926.80134400352,-0.006924548172936622,,0.11006660739793116,0.1287975420653912
2005-01-06,46160.32544947784,0.00507181870453845,,0.11005804384652042,0.1292805604878219
2005-01-07,46094.13139776304,-0.0014350323081724619,,0.10851241224106783,0.124083743656879
2005-01-10,46312.09073117511,0.004717425571521851,,0.10535456268127387,0.11757070418597367
2005-01-11,45992.94287117819,-0.006915097027901993,,0.10377904845353988,0.11346357872427552
2005-01-12,46144.7344151455,0.0032948883836088918,,0.1041484621857422,0.11660462465764816
2005-01-13,45775.03606230628,-0.008043978882441967,,0.10178524029424667,0.11119859184219294
2005-01-14,46016.290029271615,0.00525658649371409,,0.10352279772456409,0.11755202809467967
2005-01-18,46494.98555699692,0.01034900442388482,,0.10242920871252555,0.11414076104600686
2005-01-19,46008.52077437551,-0.010517855733585242,,0.107152316098241,0.12187517021647692
2005-01-20,45728.3242379394,-0.00610872126083879,,0.11164844865782908,0.13278947962319493
2005-01-21,45448.118947413255,-0.006146459828697766,,0.11082273517257359,0.13105127395951147
2005-01-24,45358.586491695045,-0.001971935537089083,,0.11007268469452619,0.12964719384506077
2005-01-25,45487.026500523934,0.0028276565081881604,,0.10699453598626875,0.12287368850658471
2005-01-26,45623.24014129394,0.002990085470643788,,0.10431613002765114,0.11639810233384748
2005-01-27,45701.06837865036,0.0017044368024099232,,0.10180435022664801,0.1107912247285381
2005-01-28,45701.06837865036,0.0,,0.09892524130041107,0.10520138546457089
2005-01-31,45985.17361628208,0.006197356130151273,,0.09591157992841054,0.10023523004677251
2005-02-01,46277.07437107999,0.006327652644947559,0.10225768218825408,0.09606147253879348,0.10095905246644554
2005-02-02,46417.157319640486,0.003022476213412221,0.09302441954638603,0.09633032045222407,0.10180574707595659
2005-02-03,46296.52158206779,-0.0026023302511937146,0.08985447737205825,0.09413227650772825,0.09804340033288415
2005-02-04,46790.78188185538,0.010619384733524966,0.09565016691028891,0.09182389039606352,0.09594030899934793
2005-02-07,46728.5009083812,-0.0013319388434874476,0.09562065205966516,0.09813680134513134,0.1087804153007104
2005-02-08,46782.9863646892,0.0011653212682782956,0.09445733909001613,0.0952880143309238,0.1040302415826031
2005-02-09,46432.722091702766,-0.0075151694343636825,0.09510441690027924,0.09249621557845511,0.09912649516466909
2005-02-10,46600.06965364235,0.0035976076670439874,0.09522941739394163,0.09431946145710893,0.10666292572019516
2005-02-11,47000.89755060614,0.008564662505285587,0.09372358169488489,0.0925099238383982,0.10277147666831557
2005-02-14,46965.88994460105,-0.0007451059796317048,0.0927980150783158,0.09567499630923572,0.10821718685813712
2005-02-15,47141.028646661776,0.0037221260005810947,0.08674746191215699,0.09280558705923733,0.1031785799408291
2005-02-16,47172.18883010142,0.000660780862048596,0.07600138079066017,0.09113495600560649,0.09987225133641948
2005-02-17,46790.781881855386,-0.008118284045754539,0.07886254014632059,0.08839596857182835,0.09545214854474167
2005-02-18,46853.02346192448,0.0013293263554643288,0.07400588057671782,0.09133193990155669,0.10553900449867558
2005-02-22,46156.42550237225,-0.014979359464047793,0.09388460026723205,0.08870034122159716,0.10048025360027724
2005-02-23,46487.19879392075,0.007140797860577342,0.09629375569477357,0.10386688305398335,0.1335810646591864
2005-02-24,46794.65118964589,0.006591925634014295,0.0980700309280482,0.10446058329438683,0.13080630887862468
2005-02-25,47257.78632235391,0.009848524682101786,0.10270255735222705,0.10447157185552758,0.12752804001296747
2005-02-28,46946.429602478165,-0.006610274297487054,0.1067335427171374,0.10828661761836492,0.13129839870906215
2005-03-01,47179.958084997525,0.004962029615987473,0.1060766144599202,0.1080884426911002,0.1307419884838732
2005-03-02,47156.57153349902,-0.0004958111576114694,0.10452617735615173,0.10655705248355109,0.1252306985474822
2005-03-03,47176.03187562186,0.00041258995714368244,0.1042471481743313,0.1033288828834803,0.11810414841543787
2005-03-04,47763.72020118823,0.012380395338003473,0.11108295723595456,0.10019391418853181,0.11155375006113383
2005-03-07,47787.067359281646,0.0004886858424537059,0.10582078666975596,0.10841585191990905,0.12593583236628464
