Strategy,Train Sharpe,Train CAGR,Test Sharpe,Test CAGR
Buy & Hold,0.3880507436299787,0.07518232361206123,0.8021270822492433,0.17265153552769874
Pure Rolling,0.5756538642914713,0.06570740017616217,0.8734878487857963,0.10246317967769891
Pure GARCH,0.5205965761058442,0.053159719121225635,0.8891451390031134,0.09610791339157254
Hybrid,0.5765677319954308,0.06564815478123642,0.8573370126005138,0.10121567626464434
