,CAGR,Ann. Vol,Sharpe,Max Drawdown,Avg Position Scalar,Annual Turnover (abs scalar chg)
Buy & Hold,0.10663983483900763,0.19078982805666125,0.5310987979341434,-0.5518943091868418,,
Rolling 20d,0.08218586171559727,0.11091721125924582,0.7120891415591438,-0.2690366447583674,0.8260602466217127,7.806389457760635
EWMA,0.07473403758955488,0.10671844614965383,0.6753586345792976,-0.2497495006179673,0.7830034853180908,6.143843664898593
"GARCH(1,1)",0.0727393191900434,0.10073965198286997,0.6969995129183606,-0.2610678046883673,0.7452939147939713,10.898347246717476
