,CAGR,Ann. Vol,Sharpe,Max Drawdown,Avg Position Scalar,Annual Turnover
Buy & Hold,0.10663983483900763,0.19078982805666125,0.5310987979341434,-0.5518943091868418,,
Pure Rolling,0.08218586171559727,0.11091721125924582,0.7120891415591438,-0.2690366447583674,0.8260602466217127,7.806389457760635
Pure GARCH,0.0727393191900434,0.10073965198286997,0.6969995129183606,-0.2610678046883673,0.7452939147939713,10.898347246717476
Hybrid (Rolling + GARCH-on-shock),0.08253361480706789,0.11099968589878889,0.7144545744412357,-0.2587025010958598,0.8297227894848354,9.278423867709407
