,Pure Rolling,Pure GARCH,Hybrid
0,0.7108885503073056,0.7001609828956753,0.7132551662720382
2,0.6968256047784976,0.6785206311638303,0.6965477712835175
5,0.6757269169243827,0.64605715345223,0.671482267948069
10,0.6405519273513134,0.591944775504806,0.6296957604441874
